"id","grupo","nombre_es","nombre_en","keyword_es","keyword_en","intencion","volumen_o_senal_demanda","evidencia_demanda","competencia_seo","competidores_con_landing_especifica","calidad_media_landings","valor_comercial_potencial","relacion_solicitudes_reales","relacion_capacidad_ibercarga","riesgo_canibalizacion","potencial_internacional","facilidad_produccion","puntuacion_0_100","prioridad","recomendacion","estado_actual","tipo_evidencia","fuentes"
"39","Carga","Transporte de hornos industriales","Industrial furnace transport","transporte hornos industriales","industrial furnace transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","54","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"40","Carga","Transporte de equipos ferroviarios","Rail equipment transport","transporte equipos ferroviarios","rail equipment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"41","Sector","Transporte especial para construcción","Special transport for construction","transporte especial construcción","special transport construction","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","45","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"42","Sector","Logística para prefabricado de hormigón","Precast concrete logistics","logística prefabricado hormigón","precast concrete logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","44","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"43","Sector","Transporte especial para energía","Special transport for energy projects","transporte especial energía","special transport energy projects","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","43","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"44","Sector","Logística para proyectos eólicos","Wind project logistics","logística proyectos eólicos","wind project logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","42","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"45","Sector","Transporte especial para Oil & Gas","Oil and gas project transport","transporte especial oil gas","oil and gas project transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","41","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"46","Sector","Transporte para siderurgia","Steel industry transport","transporte siderurgia","steel industry transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","49","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"47","Sector","Transporte para industria pesada","Heavy industry transport","transporte industria pesada","heavy industry transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","48","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"48","Sector","Logística de infraestructuras","Infrastructure project logistics","logística infraestructuras","infrastructure project logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","47","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"49","Sector","Transporte para data centers","Data center equipment transport","transporte equipos data center","data center equipment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","46","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"50","Sector","Logística para fabricación industrial","Manufacturing project logistics","logística fabricación industrial","manufacturing project logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","45","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"51","Sector","Logística portuaria de cargas especiales","Port project cargo logistics","logística portuaria cargas especiales","port project cargo logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","44","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"52","Sector","Transporte especial para minería","Mining project transport","transporte especial minería","mining project transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Sin evidencia suficiente","Sin dato verificado","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Medio","Sí; inferencia basada en terminología y oferta europea","Media","43","P4","No desarrollar todavía","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"53","Técnica","Gestión de permisos especiales","Abnormal load permits","permisos transporte especial","abnormal load permits","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","77","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"54","Técnica","Coches piloto","Pilot car services","coches piloto transporte especial","pilot car services","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","72","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"55","Técnica","Escoltas para transporte especial","Abnormal load escorts","escoltas transporte especial","abnormal load escorts","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","55","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"56","Técnica","Estudio de ruta","Abnormal load route survey","estudio ruta transporte especial","abnormal load route survey","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","79","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"57","Técnica","Planificación de ruta","Route planning for abnormal loads","planificación ruta transporte especial","abnormal load route planning","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Alto","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"58","Técnica","Ingeniería de transporte","Transport engineering","ingeniería transporte especial","transport engineering","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","52","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"59","Técnica","Coordinación de grúas","Crane coordination","coordinación grúas transporte","crane coordination logistics","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","51","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"60","Técnica","Transporte nocturno especial","Night abnormal transport","transporte especial nocturno","night abnormal transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","50","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"61","Técnica","Coordinación logística de proyectos","Project logistics coordination","coordinación logística proyectos","project logistics coordination","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Alto","Sí; inferencia basada en terminología y oferta europea","Media","49","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"62","Técnica","Plan de amarre de carga","Cargo securing plan","plan amarre carga especial","cargo securing plan","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","48","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"63","Técnica","Operaciones de carga y descarga","Load-out and load-in operations","carga descarga equipos pesados","heavy cargo load-out load-in","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","47","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"64","Técnica","Posicionamiento con gatos y patines","Jacking and skidding","posicionamiento gatos patines","jacking and skidding services","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Hipótesis: requiere validación operativa interna","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","55","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://sede.dgt.gob.es/es/movilidad/autorizaciones-especiales-de-circulacion/ | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"

